Manor Creek;38.2981;-85.5873;;Manor Creek38.2981-85.5873
Barbourmeade;38.2986;-85.6009;;Barbourmeade38.2986-85.6009
Hills and Dales;38.3005;-85.6249;;Hills and Dales38.3005-85.6249
Huntingburg;38.301;-86.9622;;Huntingburg38.301-86.9622
Glenview;38.302;-85.6519;;Glenview38.302-85.6519
Brownsboro Farm;38.304;-85.5946;;Brownsboro Farm38.304-85.5946
Fincastle;38.3082;-85.5414;;Fincastle38.3082-85.5414
New Albany;38.3089;-85.8234;;New Albany38.3089-85.8234
Worthington Hills;38.3093;-85.527;;Worthington Hills38.3093-85.527
Pewee Valley;38.3105;-85.4895;;Pewee Valley38.3105-85.4895
New Salisbury;38.314;-86.1;;New Salisbury38.314-86.1
Coldstream;38.3144;-85.5264;;Coldstream38.3144-85.5264
Birdseye;38.315;-86.6961;;Birdseye38.315-86.6961
Green Spring;38.3163;-85.6137;;Green Spring38.3163-85.6137
Clarksville;38.3221;-85.7673;;Clarksville38.3221-85.7673
Orchard Grass Hills;38.3234;-85.5236;;Orchard Grass Hills38.3234-85.5236
Francisco;38.3327;-87.4481;;Francisco38.3327-87.4481
Crestwood;38.3356;-85.4839;;Crestwood38.3356-85.4839
Jeffersonville;38.3376;-85.7026;;Jeffersonville38.3376-85.7026
Oakland City;38.3378;-87.3494;;Oakland City38.3378-87.3494
Utica;38.3381;-85.6558;;Utica38.3381-85.6558
English;38.3408;-86.4592;;English38.3408-86.4592
Milltown;38.3421;-86.2755;;Milltown38.3421-86.2755
Prospect;38.3471;-85.6103;;Prospect38.3471-85.6103
Pleasureville;38.3511;-85.1121;;Pleasureville38.3511-85.1121
Galena;38.3513;-85.9372;;Galena38.3513-85.9372
Keensburg;38.3517;-87.8683;;Keensburg38.3517-87.8683
Princeton;38.3553;-87.5784;;Princeton38.3553-87.5784
Eminence;38.3637;-85.1778;;Eminence38.3637-85.1778
Marengo;38.3714;-86.3444;;Marengo38.3714-86.3444
Greenville;38.3716;-85.9827;;Greenville38.3716-85.9827
River Bluff;38.3719;-85.604;;River Bluff38.3719-85.604
Albion;38.3767;-88.0579;;Albion38.3767-88.0579
Browns;38.3775;-87.9831;;Browns38.3775-87.9831
Winslow;38.3827;-87.2129;;Winslow38.3827-87.2129
Bellmont;38.383;-87.9107;;Bellmont38.383-87.9107
Smithfield;38.3864;-85.2566;;Smithfield38.3864-85.2566
Buckner;38.3867;-85.4503;;Buckner38.3867-85.4503
Jasper;38.3933;-86.9402;;Jasper38.3933-86.9402
La Grange;38.3987;-85.375;;La Grange38.3987-85.375
Patoka;38.4015;-87.5875;;Patoka38.4015-87.5875
Goshen;38.4027;-85.5825;;Goshen38.4027-85.5825
Sellersburg;38.4028;-85.7706;;Sellersburg38.4028-85.7706
Palmyra;38.4082;-86.1086;;Palmyra38.4082-86.1086
Mount Carmel;38.4187;-87.7694;;Mount Carmel38.4187-87.7694
Monterey;38.4233;-84.8728;;Monterey38.4233-84.8728
Charlestown;38.427;-85.6677;;Charlestown38.427-85.6677
New Castle;38.4334;-85.1689;;New Castle38.4334-85.1689
Fredericksburg;38.4353;-86.1969;;Fredericksburg38.4353-86.1969
Bone Gap;38.4449;-87.9976;;Bone Gap38.4449-87.9976
Dubois;38.4458;-86.7978;;Dubois38.4458-86.7978
Otwell;38.4566;-87.0959;;Otwell38.4566-87.0959
Hardinsburg;38.462;-86.2732;;Hardinsburg38.462-86.2732
Borden;38.4699;-85.9491;;Borden38.4699-85.9491
Gratz;38.4718;-84.947;;Gratz38.4718-84.947
Westport;38.4874;-85.4753;;Westport38.4874-85.4753
