Spring Hill;39.8346;-86.1926
Spiceland;39.8433;-85.4261
Spring Grove;39.8472;-84.8912
Marshall;39.8475;-87.1868
Rocky Ripple;39.8484;-86.1731
Roachdale;39.8491;-86.8004
Crows Nest;39.8565;-86.1691
New Paris;39.8565;-84.7922
Russellville;39.8569;-86.9834
North Salem;39.8598;-86.6444
North Crows Nest;39.8661;-86.1623
Lawrence;39.8674;-85.9905
Pittsboro;39.8705;-86.4654
Waveland;39.8774;-87.0454
Greensboro;39.8787;-85.4638
Lizton;39.8837;-86.5416
Newport;39.8841;-87.4072
Wilkinson;39.8857;-85.6084
Longview;39.8859;-88.0662
Meridian Hills;39.8874;-86.1567
Shirley;39.8911;-85.5801
Greens Fork;39.8918;-85.041
Ridge Farm;39.8957;-87.652
McCordsville;39.8967;-85.9209
Williams Creek;39.9001;-86.1502
Kennard;39.9054;-85.5222
Broadlands;39.9087;-87.9971
Sidell;39.9097;-87.8236
Hagerstown;39.9115;-85.1554
Allerton;39.9161;-87.9353
Ladoga;39.9167;-86.7989
New Castle;39.919;-85.3697
Fortville;39.9247;-85.8465
Indianola;39.927;-87.7403
Jamestown;39.9286;-86.626
Olivet;39.9414;-87.6379
Whitewater;39.9449;-84.8309
Cayuga;39.9473;-87.4647
Cadiz;39.9509;-85.4869
New Market;39.9527;-86.9215
Fountain City;39.9548;-84.9193
Fishers;39.9589;-85.9661
Lake Holiday;39.9642;-86.9607
New Ross;39.9646;-86.7142
Carmel;39.965;-86.146
Kingman;39.9664;-87.278
Whitestown;39.9705;-86.3612
Ingalls;39.9746;-85.8148
Markleville;39.9763;-85.6166
Georgetown;39.9774;-87.6354
Economy;39.9774;-85.0871
Alamo;39.9834;-87.0552
Wallace;39.987;-87.1473
Zionsville;39.9897;-86.3182
Advance;39.9956;-86.6199
Mooreland;39.9974;-85.2513
Hollansburg;39.9986;-84.7927
Sulphur Springs;39.9989;-85.4391
Mount Summit;40.0035;-85.386
Pendleton;40.0067;-85.7712
Losantville;40.0236;-85.1835
Sidney;40.025;-88.0721
Lebanon;40.0324;-86.4551
